,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15
15,#NativeDisplayResolution:1920 by 1200,#NativeDisplayResolution:2560 by 1600,#NativeDisplayResolution:3456 by 2234,#NativeDisplayResolution:3840 by 2400,#NativeDisplayResolution:3840 by 2160,#NativeDisplayResolution:1920 by 1200,"#NativeDisplayResolution:1,920 by 1,280","#NativeDisplayResolution:1,920 by 1,080",#NativeDisplayResolution:1920 by 1080,#NativeDisplayResolution:2880 by 1920,"#NativeDisplayResolution:1,920 by 1,080","#NativeDisplayResolution:2,256 by 1,504"
16,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:
17,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:Mini LED,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:IPS
18,#VariableRefreshSupport:None,#VariableRefreshSupport:,#VariableRefreshSupport:ProMotion,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None
19,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:120 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:120 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz
20,#GraphicsProcessor:Intel Iris Xe Graphics,#GraphicsProcessor:Apple M2,#GraphicsProcessor:Apple M2 Max (38-core),#GraphicsProcessor:Nvidia RTX A5500,#GraphicsProcessor:Nvidia Quadro T500,#GraphicsProcessor:AMD Radeon 680M,#GraphicsProcessor:Intel Iris Xe Graphics,#GraphicsProcessor:Intel Iris Xe,#GraphicsProcessor:Intel Iris Xe Graphics,#GraphicsProcessor:Intel Iris Xe,#GraphicsProcessor:Intel Iris Xe,#GraphicsProcessor:Intel Iris Xe Graphics
21,#GraphicsMemory:,#GraphicsMemory:,#GraphicsMemory:,#GraphicsMemory:16 GB,#GraphicsMemory:4 GB,#GraphicsMemory:,#GraphicsMemory:,#GraphicsMemory:,#GraphicsMemory:,#GraphicsMemory:,#GraphicsMemory:,#GraphicsMemory:
22,"#WirelessNetworking:Wi-Fi 6E, Bluetooth","#WirelessNetworking:802.11ax (Wi-Fi 6), Bluetooth","#WirelessNetworking:Wi-Fi 6E, Bluetooth 5.3","#WirelessNetworking:Wi-Fi 6E, Bluetooth","#WirelessNetworking:802.11ax, Bluetooth, 5G","#WirelessNetworking:Wi-Fi 6E, Bluetooth 5.2",#WirelessNetworking:Wi-Fi 6E,"#WirelessNetworking:802.11ax, Bluetooth","#WirelessNetworking:802.11ax (Wi-Fi 6), Bluetooth","#WirelessNetworking:802.11ax (Wi-Fi 6), Bluetooth","#WirelessNetworking:Wi-Fi 6E, Bluetooth","#WirelessNetworking:Wi-Fi 6E, Bluetooth"
23,#DimensionsHwd:0.6 by 12.4 by 8.8 inches,#DimensionsHwd:0.61 by 12 by 8.4 inches,#DimensionsHwd:0.66 by 14 by 9.8 inches,#DimensionsHwd:1.2 by 14.3 by 10.5 inches,#DimensionsHwd:0.76 by 14.15 by 9.19 inches,#DimensionsHwd:0.55 by 11.59 by 7.86 inches,#DimensionsHwd:0.7 by 11.7 by 9.2 inches,#DimensionsHwd:0.68 by 12.65 by 8.22 inches,#DimensionsHwd:0.67 by 12.6 by 8.5 inches,#DimensionsHwd:0.37 by 11.3 by 8.2 inches,#DimensionsHwd:1.3 by 13.4 by 8.6 inches,#DimensionsHwd:0.65 by 11.6 by 8.7 inches
24,#Weight:2.48 lbs,#Weight:3 lbs,#Weight:4.8 lbs,#Weight:6.4 lbs,#Weight:3.74 lbs,#Weight:2.78 lbs,#Weight:3.09 lbs,#Weight:2.7 lbs,#Weight:3.31 lbs,#Weight:1.96 lbs,#Weight:4.35 lbs,#Weight:2.8 lbs
25,#OperatingSystem:Windows 11 Pro,#OperatingSystem:Apple macOS,#OperatingSystem:Apple macOS Ventura,#OperatingSystem:Windows 11 Pro,#OperatingSystem:Windows 10 Pro,#OperatingSystem:Windows 11 Home,#OperatingSystem:Windows 11 Pro,#OperatingSystem:Windows 10,#OperatingSystem:Windows 11 Pro,#OperatingSystem:Windows 11,#OperatingSystem:Windows 11 Pro,#OperatingSystem:Google Chrome OS
26,#TestedBatteryLifeHoursMinutes:12:18,#TestedBatteryLifeHoursMinutes:21:55,#TestedBatteryLifeHoursMinutes:26:51,#TestedBatteryLifeHoursMinutes:7:44,#TestedBatteryLifeHoursMinutes:14:14,#TestedBatteryLifeHoursMinutes:17:46,#TestedBatteryLifeHoursMinutes:12:07,#TestedBatteryLifeHoursMinutes:17:46,#TestedBatteryLifeHoursMinutes:13:19,#TestedBatteryLifeHoursMinutes:12:34,#TestedBatteryLifeHoursMinutes:14:41,#TestedBatteryLifeHoursMinutes:10:32
27,"#WhereToBuy:$1,579.00;at Amazon;(Opens in a new window);$1,280.95;at Lenovo;(Opens in a new window)","#WhereToBuy:$1,199.00;at Amazon;(Opens in a new window);$1,099.00;at Best Buy;(Opens in a new window)","#WhereToBuy:$2,499.00;at Apple.com;(Opens in a new window)","#WhereToBuy:$1,475.10;at Lenovo;(Opens in a new window)","#WhereToBuy:$1,374.00;at HP;(Opens in a new window);$1,850.00;at Amazon;(Opens in a new window)","#WhereToBuy:$1,034.50;at Lenovo;(Opens in a new window)","#WhereToBuy:$2,379.00;at HP;(Opens in a new window)","#WhereToBuy:$1,359.00;at Dell;(Opens in a new window)",#WhereToBuy:$840.00;at Lenovo;(Opens in a new window),#WhereToBuy:$849.99;at Amazon;(Opens in a new window);$899.99;at Microsoft Store;(Opens in a new window),"#WhereToBuy:$1,709.00;at Dell;(Opens in a new window)",#WhereToBuy:$1149.00 - Get 20% off with code CHROME20;at HP;(Opens in a new window)
