,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13
11,#ScreenSize:16.2 inches,#ScreenSize:14 inches,#ScreenSize:16 inches,#ScreenSize:15.6 inches,#ScreenSize:17.3 inches,#ScreenSize:17 inches,#ScreenSize:16 inches,#ScreenSize:13.5 inches,#ScreenSize:14.4 inches,#ScreenSize:14 inches
12,#NativeDisplayResolution:3456 by 2234,#NativeDisplayResolution:3072 by 1920,#NativeDisplayResolution:3840 by 2400,#NativeDisplayResolution:3456 by 2160,#NativeDisplayResolution:3840 by 2160,#NativeDisplayResolution:3840 by 2400,#NativeDisplayResolution:3840 by 2400,#NativeDisplayResolution:3000 by 2000,#NativeDisplayResolution:2400 by 1600,"#NativeDisplayResolution:1,920 by 1,080"
13,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:
14,#PanelTechnology:Mini LED,#PanelTechnology:IPS,#PanelTechnology:OLED,#PanelTechnology:OLED,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:OLED,#PanelTechnology:OLED,#PanelTechnology:IPS,#PanelTechnology:IPS
15,#VariableRefreshSupport:ProMotion,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None
16,#ScreenRefreshRate:120 Hz,#ScreenRefreshRate:120 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:120 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:120 Hz,#ScreenRefreshRate:60 Hz
17,#GraphicsProcessor:Apple M2 Max (38-core),#GraphicsProcessor:Nvidia GeForce RTX 3050 Laptop GPU,#GraphicsProcessor:Nvidia GeForce RTX 3060,#GraphicsProcessor:Nvidia GeForce RTX 3050 Ti,#GraphicsProcessor:Nvidia RTX A5500,#GraphicsProcessor:Nvidia GeForce RTX 3060 Laptop GPU,#GraphicsProcessor:Nvidia GeForce RTX 3050 Ti Laptop GPU,#GraphicsProcessor:Intel Iris Xe Graphics,#GraphicsProcessor:Nvidia GeForce RTX 3050 Ti Laptop GPU,#GraphicsProcessor:Intel Iris Xe
18,#GraphicsMemory:,#GraphicsMemory:4 GB,#GraphicsMemory:6 GB,#GraphicsMemory:4 GB,#GraphicsMemory:16 GB,#GraphicsMemory:6 GB,#GraphicsMemory:4 GB,#GraphicsMemory:,#GraphicsMemory:4 GB,#GraphicsMemory:
19,"#WirelessNetworking:Wi-Fi 6E, Bluetooth 5.3","#WirelessNetworking:802.11ax (Wi-Fi 6), Bluetooth","#WirelessNetworking:Wi-Fi 6E, Bluetooth",#WirelessNetworking:Wi-Fi 6E,"#WirelessNetworking:Wi-Fi 6E, Bluetooth 5.2","#WirelessNetworking:Wi-Fi 6E, Bluetooth","#WirelessNetworking:802.11ax (Wi-Fi 6), Bluetooth","#WirelessNetworking:802.11ax (Wi-Fi 6), Bluetooth","#WirelessNetworking:Bluetooth, 802.11ax (Wi-Fi 6)","#WirelessNetworking:802.11ax (Wi-Fi 6), Bluetooth"
20,#DimensionsHwd:0.66 by 14 by 9.8 inches,#DimensionsHwd:0.63 by 12.92 by 8.72 inches,#DimensionsHwd:0.78 by 14.1 by 9.9 inches,#DimensionsHwd:0.73 by 13.6 by 9.1 inches,#DimensionsHwd:0.91 by 15.63 by 12.99 inches,#DimensionsHwd:0.77 by 14.74 by 9.76 inches,#DimensionsHwd:0.74 by 14.19 by 10.19 inches,#DimensionsHwd:0.67 by 11.8 by 8.7 inches,#DimensionsHwd:0.75 by 12.72 by 8.98 inches,#DimensionsHwd:0.66 by 12.7 by 8.7 inches
21,#Weight:4.8 lbs,#Weight:3.2 lbs,#Weight:5.12 pounds,#Weight:4.31 lbs,#Weight:6.82 lbs,#Weight:5.34 lbs,#Weight:4.19 lbs,#Weight:2.95 lbs,#Weight:4 lbs,#Weight:3.53 lbs
22,#OperatingSystem:Apple macOS Ventura,#OperatingSystem:Windows 11,#OperatingSystem:Windows 11 Home,#OperatingSystem:Windows 11,#OperatingSystem:Windows 11 Pro,#OperatingSystem:Windows 11,#OperatingSystem:Windows 10,#OperatingSystem:Windows 10 Home,#OperatingSystem:Windows 11,#OperatingSystem:Windows 10
23,#TestedBatteryLifeHoursMinutes:26:51,#TestedBatteryLifeHoursMinutes:11:05,#TestedBatteryLifeHoursMinutes:15:00,#TestedBatteryLifeHoursMinutes:12:47,#TestedBatteryLifeHoursMinutes:6:29,#TestedBatteryLifeHoursMinutes:11:31,#TestedBatteryLifeHoursMinutes:14:33,#TestedBatteryLifeHoursMinutes:12:39,#TestedBatteryLifeHoursMinutes:14:01,#TestedBatteryLifeHoursMinutes:11:34
24,"#WhereToBuy:$2,499.00;at Apple.com;(Opens in a new window)","#WhereToBuy:$1,747.00;at Amazon;(Opens in a new window);$1,254.99;at Lenovo;(Opens in a new window)","#WhereToBuy:$1,389.99;at HP;(Opens in a new window)","#WhereToBuy:$2,099.00;at Dell;(Opens in a new window)","#WhereToBuy:$2,799.00;at Amazon;(Opens in a new window);$3,649.99;at Best Buy;(Opens in a new window)","#WhereToBuy:$1,849.00;at Dell;(Opens in a new window)","#WhereToBuy:$1,358.99;at Amazon;(Opens in a new window)",#WhereToBuy:$929.99;at HP;(Opens in a new window);$799.99;at Amazon;(Opens in a new window),"#WhereToBuy:$2,253.54;at Amazon;(Opens in a new window);$1,599.99;at Microsoft Store;(Opens in a new window)","#WhereToBuy:$1,394.99;at Amazon;(Opens in a new window)"
